geometry_id,geometry
50,"LINESTRING (-120.6633634 47.5979119, -120.6632592 47.5979097, -120.6620271 47.597892)"
51,"LINESTRING (-120.6633506 47.5987984, -120.6633525 47.5987175, -120.6633612 47.5983551, -120.663363 47.5979847, -120.6633634 47.5979119)"
52,"LINESTRING (-120.6633506 47.5987984, -120.6633414 47.599263, -120.6633227 47.5996867, -120.6633211 47.5997235)"
53,"LINESTRING (-120.6633506 47.5987984, -120.6621863 47.5987794, -120.6619992 47.5987763)"
54,"LINESTRING (-120.6633506 47.5987984, -120.6634341 47.5987993, -120.6637849 47.5988033, -120.6640013 47.5988057, -120.6641213 47.5988071, -120.6644536 47.5988108, -120.6647753 47.5988145, -120.6650894 47.598818)"
55,"LINESTRING (-120.6633211 47.5997235, -120.6633227 47.5996867, -120.6633414 47.599263, -120.6633506 47.5987984)"
56,"LINESTRING (-120.6633211 47.5997235, -120.6633079 47.6001515, -120.6632797 47.6005488, -120.6632747 47.6006189)"
57,"LINESTRING (-120.6633211 47.5997235, -120.661988 47.5997103)"
58,"LINESTRING (-120.6632747 47.6006189, -120.6632797 47.6005488, -120.6633079 47.6001515, -120.6633211 47.5997235)"
59,"LINESTRING (-120.6632747 47.6006189, -120.6631682 47.6006175, -120.6621074 47.6006038, -120.6619451 47.6006006)"
60,"LINESTRING (-120.6632747 47.6006189, -120.6634266 47.6006239, -120.6636545 47.6006314, -120.663955 47.6006348, -120.6641205 47.6006366, -120.6641808 47.6006373, -120.6644248 47.6006401, -120.6644773 47.6006407, -120.6650105 47.6006469, -120.6650329 47.6006472)"
61,"LINESTRING (-120.6632747 47.6006189, -120.6632719 47.6006909, -120.6632707 47.6007202, -120.6632649 47.6008676, -120.6632473 47.6013183)"
62,"LINESTRING (-120.6572303 47.5961732, -120.6576457 47.5965291)"
63,"LINESTRING (-120.6572303 47.5961732, -120.6568214 47.5958228)"
64,"LINESTRING (-120.6572303 47.5961732, -120.6569248 47.5963353, -120.6557782 47.5969438)"
65,"LINESTRING (-120.6546503 47.5975424, -120.6550887 47.597902, -120.6554195 47.598183, -120.6554399 47.5982, -120.6555328 47.5982778)"
66,"LINESTRING (-120.6546503 47.5975424, -120.6557782 47.5969438)"
